standard_whisky_name,pitch
Aberfeldy 12 Year Old,꿀에 절인 사과와 배의 과일 향이 가득 퍼지는 황금빛 꿀 같은 하이랜드 몰트입니다.
Aberfeldy 16 Year Old,풍부한 꿀과 감미로운 과일 파이의 단맛을 크리미한 질감으로 즐기고 싶다면 무조건 이거예요.
Aberlour 12 Year Old Double Cask Matured,"부드러운 사과와 꿀에 셰리 캐스크의 건포도향이 더해져, 크리미한 초콜릿과 따뜻한 과일향의 여운을 찾는다면 이거예요."
Aberlour 14 Year Old,블랙커런트 잼과 크림 브륄레의 진한 단맛에 푹 빠지고 싶다면 지금 바로 이 한 병을 골라보세요.
Aberlour 16 Year Old,"진한 건포도와 블랙체리, 초콜릿이 크리미하게 얽히는 이 깊은 풍요로움은 셰리 위스키의 진수를 보여줍니다."
Aberlour A'bunadh Batch 74,진한 건포도와 다크 초콜릿 향이 진동하는 이 압도적인 바디감의 셰리 폭탄을 한 모금 마시면 다른 건 심심해질 거예요.
Angel's Envy Port Cask Finish,메이플 시럽의 달콤함 뒤로 베리류 과일과 시나몬 스파이스가 감기는 천상의 맛을 경험해보세요.
Ardbeg 10,해초와 숯불의 강렬한 피트 스모크 뒤로 터지는 레몬 시트러스와 바닐라 단맛의 조화를 느껴보세요.
Ardbeg Corryvreckan,페퍼의 스파이시함과 강한 피트가 입안을 때리는 이 묵직한 타격감을 꼭 느껴보세요.
Ardbeg Uigeadail,크리미한 질감 속에서 피트와 진한 셰리의 단맛이 폭발하는 이 맛을 한 번 경험해보세요.
Ardbeg Wee Beastie,갓 구운 베이컨과 거친 스모크가 터져나오는 5년 숙성 피트 몬스터의 매력에 빠져보세요.
Arran 10 Year Old,"신선한 사과와 꿀, 바닐라의 스파이스가 완벽한 밸런스를 이루는 산뜻한 과일향을 원하신다면 이 모범생을 골라보세요."
Arran Machrie Moor Cask Strength,"강렬한 피트 스모크와 파인애플, 트로피컬 프루트 단맛의 밸런스가 폭발적이에요, 거친 피트의 진수를 느끼고 싶다면 놓치지 마세요."
