standard_whisky_name,nose,palate,finish,source_url,sweetness,smoky,fruity,spicy,body,tagline,menthol,abv,data_source
Yamazaki 12 Year Old,"진한 과일향에 버터 바른 그레이엄 크래커, 몰트의 단맛, 건초, 약간의 허니듀 멜론이 어우러진 편안한 향","과일, 버터 그레이엄, 몰트, 시트러스 필, 건초, 스파이스, 끝에는 오렌지맛 서커스피넛(캔디) 같은 단맛","몰티하게 서서히 잦아드는 미디엄 길이, 견과류·과일·약간의 탄 내음이 함께",https://thewhiskeyjug.com/japanese-whisky/yamazaki-12-years-review/,4,1,3,2,2,버터 그레이엄과 오렌지 캔디 같은 달콤함 — 세계에서 가장 유명한 재패니즈 위스키의 정석,1,43,curated
The Glenlivet 12 Year Old,"몰티하고 크리미한 시리얼에 갓 벤 풀, 라이트 허니, 바닐라, 잘 익은 파인애플","향보다 과일 풍미가 더 두드러짐 — 파인애플, 달콤한 복숭아, 배 껍질","바닐라가 토스티하고 은은히 스파이시한 오크를 부드럽게 감싸며, 상쾌한 시트러스와 헤이즐넛 여운이 이어짐",https://www.diffordsguide.com/beer-wine-spirits/6711/the-glenlivet-12-year-old,3,1,4,1,2,파인애플·복숭아의 화사한 과일향이 매끈하게 이어지는 스페이사이드 정석 — 가볍고 접근성 좋은 입문용,1,40,curated
Royal Salute 21,"청사과·배·복숭아·꿀·오크·플로럴에 옅은 메디시널 피트감까지, 넥푸어인데도 알코올감 없이 다양한 레이어가 올라옴","그레인 유래의 살짝 텁텁하고 고소한 곡물맛으로 시작해 오렌지필 시트러스, 적사과 과육의 달콤함, 꿀물 같은 부드러움과 끝에 살짝 떫은 나무맛","고소한 견과류와 오일리한 질감, 은은하고 긴 바닐라, 버터 같은 유제품 느낌, 단맛 없는 카카오닙스 뉘앙스로 마무리",https://arca.live/b/alcohol/163856328,3,2,5,1,3,블렌디드의 정석 — 화사한 과일향과 옅은 메디시널 피트가 조화로운 밸런스형,1,40,curated
Miraon Almost There,"표현하기 어려운 향, 군내·누룩향 같은 꿉꿉한 내음과 약간의 알코올 부즈감","뻥튀기·튀밥 같은 구수한 맛이 중심, 올로로소 셰리캐스크 표기가 무색할 만큼 캐스크감 자체는 거의 느껴지지 않음",그 구수한 맛이 꽤 길게 남는 여운,https://arca.live/b/alcohol/181845426,2,1,1,2,4,올로로소 셰리캐스크 오크통 숙성 소주 — 캐스크감보다 볶은 쌀 특유의 구수함이 두드러지는 이색적인 크래프트,1,54.1,curated
Wild Turkey 101,"카라멜과 바닐라가 오크향과 어우러지고, 브라운슈가·시나몬·백후추 같은 향신료 향이 느껴짐","후추향과 시나몬이 먼저 오고, 카라멜 사탕과 바닐라의 단맛과 열감이 이어짐, 오크 풍미가 잘 녹아듦","길고 바닐라 중심의 스파이시한 여운, 카라멜이 남았다가 카다몬과 후추로 마무리",https://thewhiskeyjug.com/bourbon-whiskey/wild-turkey-101-tasting-running-through-a-rafter-of-wild-turkey-101s/,4,1,1,4,4,가성비 좋은 정통 버번 — 101프루프의 화끈함과 단맛의 밸런스,1,50.5,curated
Balvenie DoubleWood 12 Year Old,"열대과일과 사과 계열 과일향이 열리고, 꿀·바닐라의 달콤함, 스톤프루트와 무화과, 은은한 꽃향","열대과일과 과수원 과일이 카라멜·꿀과 섞여 혀에서 춤추듯 퍼지고, 이어 오크·맥아·다크한 단맛이 따라옴","중간 길이, 오크 훈연 느낌 살짝, 마시멜로와 말린 코코넛이 끝까지 남으며 몰트와 라이트 초콜릿으로 마무리",https://thewhiskeywash.com/scotch-whiskey/whisky-review-balvenie-12-year-doublewood/,4,1,4,2,3,꿀·과일향의 밸런스형 싱글몰트 — 입문용으로 무난한 스테디셀러,1,40,curated
Johnnie Walker Blue Label,"부드럽고 둥근 향에 건과일·시트러스·바닐라, 은은한 스모키함이 깔림","벨벳 같은 바닐라·꿀·장미 향으로 시작해 오렌지, 헤이즐넛, 셰리, 다크초콜릿으로 확장","길고 우아한 여운, 조니워커 특유의 은은한 스모키함이 세련되게 이어짐",https://thewhiskeywash.com/whiskey-styles/scotch-whiskey/whisky-review-johnnie-walker-blue-label/,3,3,3,2,3,블렌디드의 정점 — 은은한 스모키함과 우아한 여운의 프리미엄 라인,1,40,curated
Johnnie Walker Black Label,"그을린 오크와 피트 스모크, 토피 캔디, 잘 익은 포도향, 크리스마스 푸딩같은 온기","바닐라·버터스카치·피트 스모크·구운 피칸, 부드러우면서도 묵직하고 과일·시트러스·오크·몰트가 조화로움","적당한 스모키함이 은은하게 이어지다 견과류와 단맛으로 마무리, 과일·시트러스·바닐라·후추 스파이스가 여운으로 남음",https://thewhiskeywash.com/scotch-whiskey/whiskey-review-johnnie-walker-black-label/,3,4,3,2,3,블렌디드 스카치의 기준점 — 스모키함과 단맛이 균형 잡힌 데일리 위스키,1,40,curated
Kavalan Single Malt Whisky,"깨끗하고 신선한 향, 망고가 앞서고 배·바닐라, 은은한 꽃향과 대만 특유의 온화함","망고와 배 사탕, 코코넛과 꿀, 바닐라와 살짝의 초콜릿이 균형있게 어우러짐","실키하고 여운이 길게 남는 열대과일 단맛, 바닐라·코코넛·꿀로 마무리되며 은은한 꽃향이 마지막까지",https://thewhiskyphiles.com/2018/11/24/kavalan-classic-single-malt/,4,1,5,1,2,대만 특유의 열대과일향이 폭발하는 트로피컬 싱글몰트,3,40,curated
Glendronach 12,"달콤하고 크리미한 바닐라에 생강, 향신료를 넣은 멀드와인과 배향","진하고 크리미하며 부드러움, 따뜻한 오크와 셰리의 단맛, 건포도와 부드러운 과일, 스파이시하고 미디엄 길이의 드라이한 여운",길고 묵직하며 견과류 느낌이 살짝 도는 여운,https://thewhiskeywash.com/scotch-whiskey/the-ultimate-guide-to-the-glendronach-12-year-old/,4,1,3,3,4,셰리 캐스크 특유의 진하고 크리미한 단맛 — 클래식 셰리밤,1,43,curated
