slug,area,category,name_ko,name_zh,one_liner_zh,detail_zh,price_zh,hours,address_ko,address_zh,tip_zh,avoid_zh,vibe,photo,quiet,vibe_tag_zh,station_zh,walk_min_from_station,order,image,image_2,image_3,rating,source_url,verified_on
seoul-botanic-park,magok,spot,서울식물원,首尔植物园,落地首尔的第一口绿色,温室里有热带和地中海两个展区。下午三点以后光线斜进来，随手拍都有松弛感。,免费(温室 5000韩元),09:30-18:00 周一休,서울 강서구 마곡동로 161,首尔江西区麻谷东路161,温室票在门口自助机买，支持支付宝。,周末下午人多，想安静拍照请工作日上午来。,4,5,3,松弛感,,7,1,seoul-botanic-park.jpg,seoul-botanic-park-2.jpg,seoul-botanic-park-3.jpg,4.6,https://botanicpark.seoul.go.kr,2026-09-25
lg-arts-center,magok,spot,LG아트센터 서울,LG艺术中心首尔,安藤忠雄的清水混凝土,不看演出也能进大堂。楼梯和天窗那一块是本地女生的固定机位，穿浅色最出片。,免费入场,10:00-22:00,서울 강서구 마곡중앙로 136,首尔江西区麻谷中央路136,和植物园只隔一条街，建议连着逛。,演出散场时段大堂会很挤。,4,5,4,极简,,3,2,lg-arts-center.jpg,,,4.5,https://www.lgart.com,2026-09-25
seoul-forest,seongsu,spot,서울숲,首尔林,圣水的起点是一片林子,首尔最像纽约中央公园的地方。银杏道和鹿苑是本地女生秋天的固定机位，早上人少。,免费,全天开放(部分设施周一休),서울 성동구 뚝섬로 273,首尔城东区纛岛路273,从首尔林站3号出口走5分钟，逛完直接走去圣水咖啡街。,周末下午草坪野餐人多，想拍空镜请工作日上午。,5,5,4,松弛感,首尔林站3号出口(盆唐线),5,1,seoul-forest.jpg,,,4.7,https://parks.seoul.go.kr/parks/detailView.do?pIdx=5,2026-09-25
daelim-changgo,seongsu,cafe,대림창고,大林仓库,圣水工厂咖啡厅的祖师爷,旧碾米厂改的画廊咖啡厅，挑高空间里挂着大幅画作。下午三四点自然光最好，适合坐一小时慢慢聊。,约 8000韩元/杯,11:00-22:00,서울 성동구 성수이로 78,首尔城东区圣水二路78,进门先去里面的展区拍，再回前面点单。,没有专用停车位，直接坐地铁到圣水站。,5,5,3,氛围感,,4,2,daelim-changgo.jpg,,,4.4,https://www.siksinhot.com/P/370032,2026-09-25
onion-seongsu,seongsu,bakery,어니언 성수,Onion 圣水店,废弃工厂里的面包和天台,保留了工厂的水泥墙和铁架，面包摆在长桌上自己夹。天台是圣水最有名的机位之一，下午来光线柔。,人均 15000韩元,周一至五 08:00-22:00 周末 10:00-22:00,서울 성동구 아차산로9길 8,首尔城东区峨嵯山路9街8,工作日早上八点开门，这个时段几乎不用排队。,周末中午排队三十分钟起，面包也会卖空。,5,5,2,出片,,2,3,onion-seongsu.jpg,,,4.5,https://triple.guide/restaurants/d1a79c2e-46ed-41d4-a0c0-00bb185fe76a,2026-09-25
jayeondo-saltbread,seongsu,bakery,자연도소금빵 in 성수,自然岛盐面包 圣水店,圣水最香的那条街,只卖盐面包的外带店，黄油香飘满整条街。基本四个一份，趁热在路边吃掉第一个。,4个 12000韩元,09:00-22:00,서울 성동구 연무장길 56-1 1층,首尔城东区练武场街56-1 1层,队伍看着长但转得快，十分钟内能买到。,是外带店，没有座位。买完去旁边咖啡厅坐。,3,4,2,本地人认证,,4,4,jayeondo-saltbread.jpg,,,4.3,https://www.siksinhot.com/P/1547305,2026-09-25
seongsu-yeonbang,seongsu,shop,성수연방,圣水联邦,旧化学厂改的U型小院,一栋U型老厂房里装了咖啡厅、独立书店、生活选物店和Olive Young。不用排队也能逛一小时。,免费入场,10:00-22:00,서울 성동구 성수이로14길 14,首尔城东区圣水二路14街14,二楼走廊往下拍中庭，是这里最出片的角度。,,4,4,4,氛围感,,5,5,seongsu-yeonbang.jpg,,,4.3,https://triple.guide/attractions/c9341b3c-f136-4d84-8457-e9078ad49b95,2026-09-25
nudake-teahouse,seongsu,cafe,누데이크 티 하우스 (하우스 노웨어 서울),NUDAKE 茶室 · Haus Nowhere,Gentle Monster 家的茶和甜点,原来的圣水店已关，2025年9月搬进新开的 Haus Nowhere 五楼。装置艺术加甜点，像逛展。,人均 20000韩元起,11:00-22:00,서울 성동구 뚝섬로 433 5층,首尔城东区纛岛路433 5层,先逛楼下的 Gentle Monster 和 Tamburins，再上五楼。,别按旧地址找，圣水老店已经关了。,5,5,3,极简,,8,6,nudake-teahouse.jpg,,,4.4,https://www.diningcode.com/profile.php?rid=D2VC9M3XjXvw,2026-09-25
gyeongui-line-forest,yeonnam,spot,경의선숲길 연남동 구간,京义线林荫道 延南段,本地人叫它延特勒公园,旧铁轨改的1.2公里线形公园，从弘大入口站3号出口一出来就是。傍晚本地人带狗、带啤酒坐在草坪上。,免费,全天开放,서울 마포구 연남동,首尔麻浦区延南洞,从这里出发，两边巷子里全是咖啡厅，边走边逛最舒服。,,5,4,3,松弛感,,1,1,gyeongui-line-forest.jpg,,,4.6,https://parks.seoul.go.kr/parks/detailView.do?pIdx=1383,2026-09-25
cafe-layered-yeonnam,yeonnam,cafe,카페 레이어드 연남,Cafe Layered 延南店,红砖房里的英式司康,像欧洲人家客厅的烘焙咖啡厅，司康和蛋糕种类多到选不过来。露台座位下午光线好。,人均 15000韩元,11:00-22:00,서울 마포구 성미산로 161-4,首尔麻浦区城美山路161-4,抹茶芝士蛋糕和维多利亚蛋糕是招牌，两个人点一杯一块刚好。,周末下午一楼满座，直接上二楼找位。,5,5,3,氛围感,,8,2,cafe-layered-yeonnam.jpg,,,4.4,https://www.siksinhot.com/P/1128846,2026-09-25
